event-id;time;long;lat;height-above-ellipsoid
247702996;2013-09-17 15:00:28.000;16.5586517;13.092606;53.0
247702995;2013-09-17 16:30:11.000;16.5509445;13.092917799999999;40.1
247702994;2013-09-17 18:00:58.000;16.5391632;13.097371299999999;3.7
248057542;2013-09-18 04:30:12.000;16.5427571;13.0857321;66.2
248057541;2013-09-18 06:00:40.000;16.554610099999998;13.0848263;67.3
248057540;2013-09-18 07:30:17.000;16.553653699999998;13.0835599;37.1
248057539;2013-09-18 09:01:13.000;16.555510899999998;13.077932599999999;56.2
248057538;2013-09-18 10:32:21.000;16.5601532;13.080025;59.9
248309085;2013-09-19 04:30:11.000;16.4875029;12.9959711;74.6
248309084;2013-09-19 06:00:46.000;16.488344899999998;12.994695199999999;50.9
248309083;2013-09-19 07:32:09.000;16.489455;12.9973422;67.8
248309082;2013-09-19 09:00:07.000;16.4960876;12.999773699999999;55.0
248309081;2013-09-19 10:31:11.000;16.5318571;12.9369338;69.5
248340453;2013-09-19 12:00:21.000;16.4705586;12.8376147;64.6
248340452;2013-09-19 13:31:01.000;16.4708283;12.829291099999999;66.3
248340451;2013-09-19 15:00:27.000;16.461187199999998;12.91143;94.1
248340450;2013-09-19 16:30:17.000;16.447442;12.9287838;60.3
248340449;2013-09-19 18:00:59.000;16.4359025;12.9463922;60.3
248500971;2013-09-20 04:30:10.000;16.4411488;12.943530299999999;76.8
248500970;2013-09-20 06:00:46.000;16.4578679;12.930278;68.6
248500969;2013-09-20 07:30:09.000;16.4574045;12.9303698;66.8
248500968;2013-09-20 09:00:06.000;16.457596;12.9310789;71.9
248500967;2013-09-20 10:33:21.000;16.5214203;12.9395638;27.0
248563662;2013-09-20 12:00:59.000;16.5175309;12.938835399999999;70.4
248563661;2013-09-20 13:31:01.000;16.4556598;12.932573999999999;70.6
248563660;2013-09-20 15:00:16.000;16.4626979;12.930903299999999;50.6
248563659;2013-09-20 16:30:14.000;16.4618485;12.930266099999999;61.4
248563658;2013-09-20 18:00:56.000;16.4481012;12.938066099999999;41.4
248644195;2013-09-21 04:30:11.000;16.4531313;12.929231;69.8
248644194;2013-09-21 06:00:45.000;16.4550441;12.927071399999999;44.8
248644193;2013-09-21 07:30:20.000;16.4588748;12.9288188;25.2
248644192;2013-09-21 09:00:22.000;16.4579429;12.9293737;66.1
248644191;2013-09-21 10:30:51.000;16.3921936;12.970751199999999;63.3
248680702;2013-09-21 12:00:23.000;16.3923709;12.9708185;42.6
248680701;2013-09-21 13:30:09.000;16.4585117;12.9292921;
248680700;2013-09-21 15:00:17.000;16.458997699999998;12.9286371;49.9
248680699;2013-09-21 16:30:12.000;16.4559017;12.9294503;65.0
248680698;2013-09-21 18:00:27.000;16.4365323;12.946309399999999;65.7
248758967;2013-09-22 04:30:10.000;16.459010199999998;12.9387566;57.5
248758966;2013-09-22 06:00:46.000;16.4623287;12.9336457;72.3
248758965;2013-09-22 07:30:10.000;16.4587887;12.9344792;90.5
248758964;2013-09-22 09:00:26.000;16.4217871;12.955346899999999;56.6
248758963;2013-09-22 10:32:48.000;16.3976976;12.973628099999999;77.6
248797545;2013-09-22 12:01:54.000;16.3961382;12.9710554;60.3
248797544;2013-09-22 13:30:22.000;16.397593399999998;12.9690569;71.1
248797543;2013-09-22 15:00:14.000;16.4116079;12.9592405;71.5
248797542;2013-09-22 16:30:11.000;16.4567691;12.931760899999999;81.3
248797541;2013-09-22 18:00:22.000;16.4360542;12.9466539;76.4
248837788;2013-09-23 04:30:10.000;16.435822599999998;12.9466656;90.3
248837787;2013-09-23 06:00:45.000;16.4592237;12.931057899999999;51.6
248837786;2013-09-23 07:30:06.000;16.461664499999998;12.929993099999999;74.8
248837785;2013-09-23 09:00:09.000;16.4577108;12.9298267;50.1
248837784;2013-09-23 10:30:15.000;16.4773155;12.929098199999999;55.7
249075858;2013-09-23 12:00:34.000;16.5011099;12.935607899999999;
249075857;2013-09-23 13:30:13.000;16.4787677;12.9306264;30.1
249075856;2013-09-23 15:05:29.000;16.463291899999998;12.930451699999999;59.2
249075855;2013-09-23 16:30:11.000;16.4580701;12.9309753;40.9
249075854;2013-09-23 18:00:21.000;16.4363159;12.9464747;64.2
249153134;2013-09-24 04:30:12.000;16.438976399999998;12.9446696;85.2
249153133;2013-09-24 06:00:10.000;16.460808999999998;12.929991399999999;96.0
249153132;2013-09-24 07:30:05.000;16.462177099999998;12.9314199;72.7
249153131;2013-09-24 09:00:04.000;16.4613182;12.930244799999999;44.4
249153130;2013-09-24 10:32:49.000;16.460950099999998;12.9304399;57.6
249188414;2013-09-24 12:00:17.000;16.463138999999998;12.9304954;48.0
249188413;2013-09-24 13:30:12.000;16.461260799999998;12.9301137;71.7
249188412;2013-09-24 15:00:12.000;16.4617981;12.930308199999999;70.6
249188411;2013-09-24 16:30:11.000;16.4584424;12.931557;68.4
249188410;2013-09-24 18:01:22.000;16.4364383;12.9464148;65.5
249290768;2013-09-25 04:30:13.000;16.4648452;12.9344807;63.9
249290767;2013-09-25 06:00:10.000;16.460171199999998;12.9291512;82.0
249290766;2013-09-25 07:30:53.000;16.4594266;12.9316827;114.8
249290765;2013-09-25 09:02:15.000;16.4554744;12.92799;157.7
249290764;2013-09-25 10:30:52.000;16.4538495;12.928996;
249391411;2013-09-25 12:02:15.000;16.4461648;12.939034699999999;65.0
249391410;2013-09-25 13:30:23.000;16.4439416;12.9368999;110.5
249391409;2013-09-25 15:00:04.000;16.4527994;12.927267899999999;90.1
249391408;2013-09-25 16:30:08.000;16.453229699999998;12.929449799999999;139.4
249391407;2013-09-25 18:00:26.000;16.436018999999998;12.9466387;89.6
249508982;2013-09-26 04:30:18.000;16.4525909;12.9344433;106.2
249508981;2013-09-26 06:00:11.000;16.4571734;12.9250306;68.6
249508980;2013-09-26 07:30:30.000;16.4578949;12.928517999999999;260.5
249508979;2013-09-26 09:01:14.000;16.452734799999998;12.9304191;
249508978;2013-09-26 10:31:13.000;16.4528463;12.930514599999999;78.3
249560320;2013-09-26 12:01:07.000;16.4537039;12.9292004;73.9
249560319;2013-09-26 13:30:12.000;16.4533406;12.9289039;71.5
249560318;2013-09-26 15:00:07.000;16.4579007;12.9281762;71.0
249560317;2013-09-26 16:32:08.000;16.4538932;12.9270217;79.5
249560316;2013-09-26 18:00:49.000;16.4362772;12.946015599999999;182.4
249674665;2013-09-27 04:30:14.000;16.4632097;12.9287973;75.0
249674664;2013-09-27 06:00:46.000;16.461008;12.9301709;61.7
249674663;2013-09-27 07:31:22.000;16.461458;12.9302475;49.1
249674662;2013-09-27 09:00:12.000;16.4528456;12.9305437;
249674661;2013-09-27 10:33:49.000;16.4529033;12.9301921;177.2
